gid,entidad,objeto,fna,geom,gna,nam,fun,ppo,sag,fdc
"1529","0",Mina,,POINT(-57.167096949 -35.373318039),"-1",,-1,-1,IGN,
"811","0",Mina,Cantera,POINT(-65.481002808 -24.954195023),Cantera,,-1,-1,IGN,IGN
"812","0",Mina,Cantera,POINT(-69.2989425659999 -31.248170853),Cantera,,-1,-1,IGN,IGN
"847","0",Mina,San Martín,POINT(-66.0998916629999 -40.483623505),"-1",San Martín,-1,-1,IGN,IGN
"813","0",Mina,Cantera,POINT(-69.293968201 -31.247552872),Cantera,,-1,-1,IGN,IGN
"848","0",Mina,La Malena,POINT(-66.051368713 -40.49779892),"-1",La Malena,-1,-1,IGN,IGN
"814","0",Mina,Cantera,POINT(-69.301086426 -31.2396564479999),Cantera,,-1,-1,IGN,IGN
"815","0",Mina,Cantera,POINT(-69.3115997309999 -31.238855362),Cantera,,-1,-1,IGN,IGN
"816","0",Mina,Cantera,POINT(-66.6106567379999 -31.249015808),Cantera,,-1,-1,IGN,IGN
"817","0",Mina,Cantera,POINT(-67.263572693 -38.8861808779999),Cantera,,-1,-1,IGN,IGN
"818","0",Mina,Cantera,POINT(-67.9066848749999 -38.585079193),Cantera,,-1,-1,IGN,IGN
"819","0",Mina,Carrizo,POINT(-67.732765198 -38.870967865),"-1",Carrizo,-1,-1,IGN,IGN
"820","0",Mina,Cantera,POINT(-65.386528015 -38.986217499),Cantera,,-1,-1,IGN,IGN
"821","0",Mina,Cantera,POINT(-64.7905807499999 -39.119972229),Cantera,,-1,-1,IGN,IGN
"822","0",Mina,Cantera,POINT(-64.445419312 -40.017921448),Cantera,,-1,-1,IGN,IGN
"823","0",Mina,Cantera,POINT(-64.4801864619999 -40.1297683719999),Cantera,,-1,-1,IGN,IGN
"824","0",Mina,Cantera,POINT(-64.473022461 -40.164539337),Cantera,,-1,-1,IGN,IGN
"825","0",Mina,Cantera,POINT(-64.363723755 -40.199863434),Cantera,,-1,-1,IGN,IGN
"826","0",Mina,Cantera,POINT(-64.1407012939999 -40.289070129),Cantera,,-1,-1,IGN,IGN
"827","0",Mina,Cantera,POINT(-63.99527359 -40.7196235659999),Cantera,,-1,-1,IGN,IGN
"828","0",Mina,Cantera,POINT(-64.1392745969999 -40.715545654),Cantera,,-1,-1,IGN,IGN
"829","0",Mina,Cantera,POINT(-64.090911865 -40.7180137629999),Cantera,,-1,-1,IGN,IGN
"830","0",Mina,Cantera,POINT(-64.198707581 -40.7112846369999),Cantera,,-1,-1,IGN,IGN
"831","0",Mina,Cantera,POINT(-64.3727111819999 -40.7121467589999),Cantera,,-1,-1,IGN,IGN
"832","0",Mina,Cantera,POINT(-64.315246582 -40.7118377689999),Cantera,,-1,-1,IGN,IGN
"833","0",Mina,Cantera,POINT(-64.458755493 -40.7130203249999),Cantera,,-1,-1,IGN,IGN
"834","0",Mina,Cantera,POINT(-63.635173798 -40.7170410159999),Cantera,,-1,-1,IGN,IGN
"835","0",Mina,Cantera,POINT(-63.671409607 -40.4206275939999),Cantera,,-1,-1,IGN,IGN
"836","0",Mina,Cantera,POINT(-63.044353485 -40.899520874),Cantera,,-1,-1,IGN,IGN
"837","0",Mina,Cantera,POINT(-63.04196167 -40.9121627809999),Cantera,,-1,-1,IGN,IGN
"838","0",Mina,Cantera,POINT(-63.0761299129999 -40.898704529),Cantera,,-1,-1,IGN,IGN
"839","0",Mina,Cantera,POINT(-63.0731658939999 -40.8738822939999),Cantera,,-1,-1,IGN,IGN
"840","0",Mina,Cantera,POINT(-63.0457305909999 -40.9217720029999),Cantera,,-1,-1,IGN,IGN
"841","0",Mina,Cantera,POINT(-63.368904114 -41.048591614),Cantera,,-1,-1,IGN,IGN
"842","0",Mina,Cantera,POINT(-63.2103309629999 -40.9741592409999),Cantera,,-1,-1,IGN,IGN
