,clasificacion,BARRIO
2020-03-01,0.0,AGRONOMIA
2020-03-08,0.0,AGRONOMIA
2020-03-15,0.0,AGRONOMIA
2020-03-22,0.0,AGRONOMIA
2020-03-29,0.0,AGRONOMIA
2020-04-05,1.0,AGRONOMIA
2020-04-12,2.0,AGRONOMIA
2020-04-19,1.0,AGRONOMIA
2020-04-26,0.0,AGRONOMIA
2020-05-03,0.0,AGRONOMIA
2020-05-10,0.0,AGRONOMIA
2020-05-17,0.0,AGRONOMIA
2020-05-24,2.0,AGRONOMIA
2020-05-31,3.0,AGRONOMIA
2020-06-07,0.0,AGRONOMIA
2020-06-14,5.0,AGRONOMIA
2020-06-21,4.0,AGRONOMIA
2020-06-28,8.0,AGRONOMIA
2020-07-05,16.0,AGRONOMIA
2020-07-12,4.0,AGRONOMIA
2020-07-19,11.0,AGRONOMIA
2020-07-26,14.0,AGRONOMIA
2020-08-02,18.0,AGRONOMIA
2020-08-09,13.0,AGRONOMIA
2020-08-16,29.0,AGRONOMIA
2020-08-23,12.0,AGRONOMIA
2020-08-30,28.0,AGRONOMIA
2020-09-06,21.0,AGRONOMIA
2020-09-13,31.0,AGRONOMIA
2020-09-20,23.0,AGRONOMIA
2020-09-27,12.0,AGRONOMIA
2020-10-04,26.0,AGRONOMIA
2020-10-11,19.0,AGRONOMIA
2020-10-18,12.0,AGRONOMIA
2020-10-25,10.0,AGRONOMIA
2020-11-01,13.0,AGRONOMIA
2020-11-08,7.0,AGRONOMIA
2020-11-15,6.0,AGRONOMIA
2020-11-22,5.0,AGRONOMIA
2020-11-29,9.0,AGRONOMIA
2020-12-06,6.0,AGRONOMIA
2020-12-13,7.0,AGRONOMIA
2020-12-20,7.0,AGRONOMIA
2020-12-27,19.0,AGRONOMIA
2021-01-03,18.0,AGRONOMIA
2021-01-10,34.0,AGRONOMIA
2021-01-17,33.0,AGRONOMIA
2021-01-24,26.0,AGRONOMIA
2021-01-31,29.0,AGRONOMIA
2021-02-07,25.0,AGRONOMIA
2021-02-14,20.0,AGRONOMIA
2021-02-21,17.0,AGRONOMIA
2021-02-28,11.0,AGRONOMIA
2021-03-07,7.0,AGRONOMIA
2021-03-14,23.0,AGRONOMIA
2021-03-21,17.0,AGRONOMIA
2021-03-28,28.0,AGRONOMIA
2021-04-04,45.0,AGRONOMIA
2021-04-11,71.0,AGRONOMIA
2021-04-18,58.0,AGRONOMIA
2021-04-25,52.0,AGRONOMIA
2021-05-02,57.0,AGRONOMIA
2021-05-09,37.0,AGRONOMIA
2021-05-16,61.0,AGRONOMIA
2021-05-23,55.0,AGRONOMIA
2021-05-30,69.0,AGRONOMIA
2021-06-06,51.0,AGRONOMIA
2021-06-13,35.0,AGRONOMIA
2021-06-20,28.0,AGRONOMIA
