producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
190;3;2177-6644;;;;TEL (TEMPO, ESPACO E LINGUAGEM);9;1;;10.5935/2177-6644.20180002;UNIVERSIDADE ESTADUAL DO CENTRO OESTE;Q3
3810;21;1389-5575;;428;438;MINI-REVIEWS IN MEDICINAL CHEMISTRY;18;5;;10.2174/1389557516666160118112313;BENTHAM SCIENCE PUBL LTD;Q1
4637;82;0144-8463;;1;10;BIOSCIENCE REPORTS;6;6;;;PORTLAND PRESS LTD;NO INDEXADO
4824;39;1569-4445;;175;186;NEAR SURFACE GEOPHYSICS;15;1;;10.3997/1873-0604.2017004;EUROPEAN ASSOC GEOSCIENTISTS & ENGINEERS;Q2
5090;21;1040-6182;;165;177;QUATERNARY INTERNATIONAL;;466;;10.1016/j.quaint.2016.03.003;PERGAMON-ELSEVIER SCIENCE LTD;Q1
5105;39;0567-7572;;149;155;ACTA HORTICULTURAE;1194;1;;10.17660/ActaHortic.2018.1194.23;INTERNATIONAL SOCIETY FOR HORTICULTURAL SCIENCE;Q4
5187;1;;;1;12;REVISTA ARGENTINA DE ANTROPOLOGÍA BIOLÓGICA;19;1;;10.17139/raab.2017.0019.01.05;ASOCIACIÓN ARGENTINA DE ANTROPOLOGÍA BIOLÓGICA;NO INDEXADO
5281;1;0327-5159;;137;146;ARQUEOLOGÍA (BUENOS AIRES);23;;;;UNIVERSIDAD DE BUENOS AIRES - FFYL;Q2
5284;1;1666-6917;;99;110;TECNOLOGÍA Y CIENCIA;31;1;;;UNIVERSIDAD TECNOLÓGICA NACIONAL SECRETARÍA DE CIENCIA, TECNOLOGÍA Y POSGRADO PROGRAMA DE TECNOLOGÍA EDUCATIVA Y ENSEÑANZA DE LA INGENIERÍA.;NO INDEXADO
6558;31;0947-3602;;33;61;REQUIREMENTS ENGINEERING;23;1;;10.1007/s00766-016-0257-3;SPRINGER;Q2
6699;82;0950-091X;;142;159;BASIN RESEARCH;30;;;10.1111/bre.12212;WILEY-BLACKWELL PUBLISHING, INC;Q1
6810;35;0034-8341;;819;843;REVISTA DE INDIAS;78;274;;10.3989/revindias.2018.i274	;CSIC;Q2
7243;31;1012-2443;;43;68;ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE;82;1-3;;10.1007/s10472-016-9519-5;SPRINGER;Q3
7409;3;1982-6745;;;;REVISTA REDES (UNISC);2;14;;;UNISC ;NO INDEXADO
7435;31;1436-6207;;569;583;EUROPEAN JOURNAL OF NUTRITION;57;;;10.1007/s00394-016-1343-5;DR DIETRICH STEINKOPFF VERLAG;Q1
7813;21;1574-8936;;64;72;CURRENT BIOINFORMATICS;13;1;;10.2174/1574893611666161123123204;BENTHAM SCIENCE PUBL LTD;Q4
7980;21;0032-0862;;584;594;PLANT PATHOLOGY;67;;;;WILEY-BLACKWELL PUBLISHING, INC;NO INDEXADO
8138;21;0272-8397;;1331;1338;POLYMER COMPOSITES;39;4;;10.1002/pc.24073;JOHN WILEY & SONS INC;Q1
8341;31;0167-4366;;623;635;AGROFORESTRY SYSTEMS;92;;;10.1007/s10457-016-9999-7;SPRINGER;Q2
8365;39;0026-265X;;113;120;MICROCHEMICAL JOURNAL;136;;;10.1016/j.microc.2016.11.007 0026-265X/;ELSEVIER SCIENCE BV;Q1
8417;21;1477-1535;;191;204;LIGHTING RESEARCH & TECHNOLOGY;50;2;;10.1177/1477153516656225;SAGE PUBLICATIONS LTD;Q2
8441;39;0034-6667;;1;10;REVIEW OF PALAEOBOTANY AND PALYNOLOGY;;0;;;ELSEVIER SCIENCE BV;Q1
8443;39;1549-9634;;;;NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE;;;;;ELSEVIER SCIENCE BV;Q1
9427;31;0026-4598;;;;MINERALIUM DEPOSITA;;;;;SPRINGER;Q1
9714;1;0300-9033;;201;204;ACTA GASTROENTEROLOGICA LATINOAMERICANA.;46;3;;;SOCIEDAD ARGENTINA DE GASTROENTEROLOGÍA;NO INDEXADO
9917;35;0213-2230;;195;220;REVISTA MATEMATICA IBEROAMERICANA;34;1;;10.4171/rmi/983;UNIV AUTONOMA MADRID;Q1
10010;82;0308-2105;;1;18;PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS;;;;10.1017/S0308210517000361;ROYAL SOC EDINBURGH;Q1
10164;82;;;77;108;CAPITAL & CLASS;42;1;;10.1177/0309816817692125;SAGE;NO INDEXADO
10203;1;0325-7541;;126;130;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;50;2;;10.1016/j.ram.2016.11.008;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
10438;82;0706-0661;;1;11;CANADIAN JOURNAL OF PLANT PATHOLOGY-REVUE CANADIENNE DE PHYTOPATHOLOGIE;;;;10.1080/07060661.2018.1484390;CANADIAN PHYTOPATHOLOGICAL SOC;Q2
10449;1;0325-7541;;70;74;REVISTA ARGENTINA DE MICROBIOLOGÃ­A;49;1;;;ASOCIACION ARGENTINA MICROBIOLOGIA;Q3
10621;3;0103-2070;;217;247;TEMPO SOCIAL;30;3;;;UNIVERSIDADE DE SAO PAULO;Q3
10856;3;1981-1268;;56;80;GAIA SCIENTIA;12;1;;10.21707/gs.v11.n04a09;UNIVERSIDADE FEDERAL DA PARAÍBA, PROGRAMA DE PÓS GRADUAÇÃO EM DESENVOLVIMENTO E MEIO AMBIENTE;NO INDEXADO
11226;21;1040-6182;;157;164;QUATERNARY INTERNATIONAL;466;;;10.1016/j.quaint.2016.04.011;PERGAMON-ELSEVIER SCIENCE LTD;Q1
11442;1;0070-1769;;;;CUADERNOS DEL SUR;;;;;INSTITUTO DE HUMANIDADES, UNIVERSIDAD NACIONAL DEL SUR;NO INDEXADO
